Mach;altitude;net thrust;core fuel flow;afterburner fuel flow
Amb.MNf_in;Amb.alt_in;FN;WF;WFaft
-;m;N;kg/s;kg/s
--;--;--;--;--
--;--;--;--;--
0.3;1000;29818.4359;0.6;0
0.4;1000;28115.3546;0.6;0
0.5;1000;26487.7652;0.6;0
0.6;1000;24928.174;0.6;0
0.7;1000;23448.4672;0.6;0
0.8;1000;22040.2586;0.6;0
0.9;1000;20697.641;0.6;0
0.3;1500;30189.3434;0.6;0
0.4;1500;28512.8743;0.6;0
0.5;1500;26914.6382;0.6;0
0.6;1500;25378.8034;0.6;0
0.7;1500;23908.16;0.6;0
0.8;1500;22507.7795;0.6;0
0.9;1500;21171.2465;0.6;0
0.3;2000;30535.4254;0.6;0
0.4;2000;28881.4349;0.6;0
0.5;2000;27305.7559;0.6;0
0.6;2000;25798.1705;0.6;0
0.7;2000;24340.7932;0.6;0
0.8;2000;22949.779;0.6;0
0.9;2000;21619.6755;0.6;0
0.3;2500;30860.0979;0.6;0
0.4;2500;29226.5716;0.6;0
0.5;2500;27668.9278;0.6;0
0.6;2500;26181.4521;0.6;0
0.7;2500;24751.3716;0.6;0
0.8;2500;23365.9105;0.6;0
0.9;2500;22043.1414;0.6;0
0.3;3000;31160.0668;0.6;0
0.4;3000;29551.4458;0.6;0
0.5;3000;28008.7291;0.6;0
0.6;3000;26536.5194;0.6;0
0.7;3000;25126.5618;0.6;0
0.8;3000;23760.6097;0.6;0
0.9;3000;22442.3044;0.6;0
0.3;3500;31236.7984;0.6;0
0.4;3500;29848.1223;0.6;0
0.5;3500;28328.7642;0.6;0
0.6;3500;26868.0867;0.6;0
0.7;3500;25472.1251;0.6;0
0.8;3500;24129.2093;0.6;0
0.9;3500;22819.6188;0.6;0
0.3;4000;31688.9169;0.6;0
0.4;4000;30122.6998;0.6;0
0.5;4000;28622.2725;0.6;0
0.6;4000;27181.4146;0.6;0
0.7;4000;25793.8365;0.6;0
0.8;4000;24465.5671;0.6;0
0.9;4000;23177.9017;0.6;0
0.3;4500;31931.6276;0.6;0
0.4;4500;30378.9396;0.6;0
0.5;4500;28893.7892;0.6;0
0.6;4500;27469.4931;0.6;0
0.7;4500;26096.5181;0.6;0
0.8;4500;24777.1188;0.6;0
0.9;4500;23507.1;0.6;0
0.3;5000;32164.7053;0.6;0
0.4;5000;30624.0081;0.6;0
0.5;5000;29147.3794;0.6;0
0.6;5000;27735.6391;0.6;0
0.7;5000;26379.6133;0.6;0
0.8;5000;25068.506;0.6;0
0.9;5000;23808.7122;0.6;0
0.3;5500;32391.3828;0.6;0
0.4;5500;30859.3996;0.6;0
0.5;5500;29389.8141;0.6;0
0.6;5500;27983.172;0.6;0
0.7;5500;26638.2236;0.6;0
0.8;5500;25342.7746;0.6;0
0.9;5500;24088.5094;0.6;0
0.3;6000;32606.2782;0.6;0
0.4;6000;31088.0517;0.6;0
0.5;6000;29622.9097;0.6;0
0.6;6000;28219.0088;0.6;0
0.7;6000;26877.7717;0.6;0
0.8;6000;25593.7842;0.6;0
0.9;6000;24350.564;0.6;0
0.3;6500;32797.4515;0.6;0
0.4;6500;31301.6665;0.6;0
0.5;6500;29848.1699;0.6;0
0.6;6500;28445.7011;0.6;0
0.7;6500;27104.9596;0.6;0
0.8;6500;25825.5917;0.6;0
0.9;6500;24596.0893;0.6;0
0.3;7000;32951.7605;0.6;0
0.4;7000;31489.3249;0.6;0
0.5;7000;30058.7527;0.6;0
0.6;7000;28665.6501;0.6;0
0.7;7000;27323.3245;0.6;0
0.8;7000;26043.0145;0.6;0
0.9;7000;24820.3888;0.6;0
0.3;7500;33058.4541;0.6;0
0.4;7500;31637.3699;0.6;0
0.5;7500;30243.1806;0.6;0
0.6;7500;28871.9395;0.6;0
0.7;7500;27535.1839;0.6;0
0.8;7500;26251.6194;0.6;0
0.9;7500;25028.8379;0.6;0
0.3;8000;33116.9126;0.6;0
0.4;8000;31738.81;0.6;0
0.5;8000;30388.3377;0.6;0
0.6;8000;29053.9711;0.6;0
0.7;8000;27735.8126;0.6;0
0.8;8000;26452.8212;0.6;0
0.9;8000;25226.4843;0.6;0
