Mach;altitude;net thrust;core fuel flow;afterburner fuel flow
Amb.MNf_in;Amb.alt_in;FN;WF;WFaft
-;m;N;kg/s;kg/s
--;--;--;--;--
--;--;--;--;--
0.3;1000;74802.0864;1.5;0
0.4;1000;71567.9677;1.5;0
0.5;1000;68404.2121;1.5;0
0.6;1000;65306.97;1.5;0
0.7;1000;62306.2953;1.5;0
0.8;1000;59429.9497;1.5;0
0.9;1000;56680.2691;1.5;0
0.3;1500;74956.3533;1.5;0
0.4;1500;71802.9001;1.5;0
0.5;1500;68713.2814;1.5;0
0.6;1500;65672.968;1.5;0
0.7;1500;62693.6789;1.5;0
0.8;1500;59817.5321;1.5;0
0.9;1500;57069.9597;1.5;0
0.3;2000;75022.0661;1.5;0
0.4;2000;71961.289;1.5;0
0.5;2000;68957.1588;1.5;0
0.6;2000;65990.9425;1.5;0
0.7;2000;63058.2253;1.5;0
0.8;2000;60192.8976;1.5;0
0.9;2000;57440.2549;1.5;0
0.3;2500;75012.8989;1.5;0
0.4;2500;72035.674;1.5;0
0.5;2500;69127.8794;1.5;0
0.6;2500;66248.0648;1.5;0
0.7;2500;63385.236;1.5;0
0.8;2500;60550.3915;1.5;0
0.9;2500;57798.151;1.5;0
0.3;3000;74940.998;1.5;0
0.4;3000;72040.3505;1.5;0
0.5;3000;69218.1648;1.5;0
0.6;3000;66437.7894;1.5;0
0.7;3000;63658.1485;1.5;0
0.8;3000;60881.9389;1.5;0
0.9;3000;58143.5556;1.5;0
0.3;3500;74807.983;1.5;0
0.4;3500;71983.8524;1.5;0
0.5;3500;69240.6878;1.5;0
0.6;3500;66548.821;1.5;0
0.7;3500;63869.3085;1.5;0
0.8;3500;61169.9158;1.5;0
0.9;3500;58471.7319;1.5;0
0.3;4000;74616.0132;1.5;0
0.4;4000;71869.8467;1.5;0
0.5;4000;69203.7036;1.5;0
0.6;4000;66592.7057;1.5;0
0.7;4000;64007.0205;1.5;0
0.8;4000;61403.0862;1.5;0
0.9;4000;58770.7295;1.5;0
0.3;4500;74348.3742;1.5;0
0.4;4500;71696.573;1.5;0
0.5;4500;69111.8248;1.5;0
0.6;4500;66578.9874;1.5;0
0.7;4500;64075.9971;1.5;0
0.8;4500;61572.9754;1.5;0
0.9;4500;59023.7957;1.5;0
0.3;5000;74008.763;1.5;0
0.4;5000;71446.0376;1.5;0
0.5;5000;68962.5496;1.5;0
0.6;5000;66512.2491;1.5;0
0.7;5000;64088.5935;1.5;0
0.8;5000;61671.1327;1.5;0
0.9;5000;59223.153;1.5;0
0.3;5500;73546.1376;1.5;0
0.4;5500;71134.085;1.5;0
0.5;5500;68737.4646;1.5;0
0.6;5500;66391.102;1.5;0
0.7;5500;64048.1757;1.5;0
0.8;5500;61712.1799;1.5;0
0.9;5500;59358.1092;1.5;0
0.3;6000;72586.9397;1.5;0
0.4;6000;70630.507;1.5;0
0.5;6000;68455.3337;1.5;0
0.6;6000;66199.3556;1.5;0
0.7;6000;63957.8571;1.5;0
0.8;6000;61700.2451;1.5;0
0.9;6000;59430.394;1.5;0
0.3;6500;71363.5326;1.5;0
0.4;6500;69616.9928;1.5;0
0.5;6500;67965.6957;1.5;0
0.6;6500;65947.8588;1.5;0
0.7;6500;63804.1658;1.5;0
0.8;6500;61639.477;1.5;0
0.9;6500;59449.2691;1.5;0
0.3;7000;70110.5946;1.5;0
0.4;7000;68471.586;1.5;0
0.5;7000;66990.6164;1.5;0
0.6;7000;65534.9796;1.5;0
0.7;7000;63584.8695;1.5;0
0.8;7000;61525.4895;1.5;0
0.9;7000;59418.18;1.5;0
0.3;7500;68820.6326;1.5;0
0.4;7500;67287.8918;1.5;0
0.5;7500;65916.8773;1.5;0
0.6;7500;64653.3311;1.5;0
0.7;7500;63272.4644;1.5;0
0.8;7500;61344.1689;1.5;0
0.9;7500;59341.9521;1.5;0
0.3;8000;67473.7067;1.5;0
0.4;8000;66062.794;1.5;0
0.5;8000;64802.2023;1.5;0
0.6;8000;63644.3697;1.5;0
0.7;8000;62549.8702;1.5;0
0.8;8000;61110.4857;1.5;0
0.9;8000;59207.6634;1.5;0
