Mach;altitude;net thrust;core fuel flow;afterburner fuel flow
Amb.MNf_in;Amb.alt_in;FN;WF;WFaft
-;m;N;kg/s;kg/s
--;--;--;--;--
--;--;--;--;--
0.3;1000;102045.755;1.8;1.5
0.4;1000;99344.832;1.8;1.5
0.5;1000;96809.8718;1.8;1.5
0.6;1000;94404.1566;1.8;1.5
0.7;1000;92063.1526;1.8;1.5
0.8;1000;89755.5481;1.8;1.5
0.9;1000;87511.4489;1.8;1.5
0.3;1500;101765.785;1.8;1.5
0.4;1500;99143.5741;1.8;1.5
0.5;1500;96640.0549;1.8;1.5
0.6;1500;94284.7492;1.8;1.5
0.7;1500;92021.8611;1.8;1.5
0.8;1500;89790.352;1.8;1.5
0.9;1500;87585.0051;1.8;1.5
0.3;2000;101410.011;1.8;1.5
0.4;2000;98881.0992;1.8;1.5
0.5;2000;96456.9068;1.8;1.5
0.6;2000;94124.0937;1.8;1.5
0.7;2000;91923.2556;1.8;1.5
0.8;2000;89770.2;1.8;1.5
0.9;2000;87621.8078;1.8;1.5
0.3;2500;100982.143;1.8;1.5
0.4;2500;98541.2465;1.8;1.5
0.5;2500;96214.8988;1.8;1.5
0.6;2500;93954.9171;1.8;1.5
0.7;2500;91772.0891;1.8;1.5
0.8;2500;89693.9555;1.8;1.5
0.9;2500;87623.6952;1.8;1.5
0.3;3000;100489.264;1.8;1.5
0.4;3000;98127.3192;1.8;1.5
0.5;3000;95895.3893;1.8;1.5
0.6;3000;93737.0769;1.8;1.5
0.7;3000;91608.8861;1.8;1.5
0.8;3000;89564.2747;1.8;1.5
0.9;3000;87572.4697;1.8;1.5
0.3;3500;99923.5355;1.8;1.5
0.4;3500;97664.6874;1.8;1.5
0.5;3500;95503.599;1.8;1.5
0.6;3500;93442.6226;1.8;1.5
0.7;3500;91416.8813;1.8;1.5
0.8;3500;89400.8169;1.8;1.5
0.9;3500;87467.4266;1.8;1.5
0.3;4000;99467.698;1.8;1.5
0.4;4000;97147.0435;1.8;1.5
0.5;4000;95066.4646;1.8;1.5
0.6;4000;93079.9;1.8;1.5
0.7;4000;91152.7148;1.8;1.5
0.8;4000;89223.7524;1.8;1.5
0.9;4000;87315.6567;1.8;1.5
0.3;4500;98634.4835;1.8;1.5
0.4;4500;96658.2971;1.8;1.5
0.5;4500;94580.291;1.8;1.5
0.6;4500;92662.6462;1.8;1.5
0.7;4500;90822.3508;1.8;1.5
0.8;4500;88993.2988;1.8;1.5
0.9;4500;87137.4995;1.8;1.5
0.3;5000;97614.4862;1.8;1.5
0.4;5000;95834.6458;1.8;1.5
0.5;5000;94110.9663;1.8;1.5
0.6;5000;92193.3037;1.8;1.5
0.7;5000;90426.1828;1.8;1.5
0.8;5000;88693.515;1.8;1.5
0.9;5000;86937.2741;1.8;1.5
0.3;5500;96388.5804;1.8;1.5
0.4;5500;94814.065;1.8;1.5
0.5;5500;93318.6355;1.8;1.5
0.6;5500;91789.0037;1.8;1.5
0.7;5500;89965.3821;1.8;1.5
0.8;5500;88333.5459;1.8;1.5
0.9;5500;86676.4303;1.8;1.5
0.3;6000;95060.3899;1.8;1.5
0.4;6000;93604.4375;1.8;1.5
0.5;6000;92329.9101;1.8;1.5
0.6;6000;91048.2621;1.8;1.5
0.7;6000;89606.5671;1.8;1.5
0.8;6000;87940.6054;1.8;1.5
0.9;6000;86356.4611;1.8;1.5
0.3;6500;93757.3129;1.8;1.5
0.4;6500;92335.1065;1.8;1.5
0.5;6500;91158.474;1.8;1.5
0.6;6500;90119.2028;1.8;1.5
0.7;6500;88974.9817;1.8;1.5
0.8;6500;87508.6693;1.8;1.5
0.9;6500;85981.9106;1.8;1.5
0.3;7000;92255.9166;1.8;1.5
0.4;7000;91101.3972;1.8;1.5
0.5;7000;89941.11;1.8;1.5
0.6;7000;89001.1727;1.8;1.5
0.7;7000;88129.2473;1.8;1.5
0.8;7000;87049.4587;1.8;1.5
0.9;7000;85539.397;1.8;1.5
0.3;7500;90629.7337;1.8;1.5
0.4;7500;89579.7446;1.8;1.5
0.5;7500;88751.9442;1.8;1.5
0.6;7500;87826.2072;1.8;1.5
0.7;7500;87084.1762;1.8;1.5
0.8;7500;86301.539;1.8;1.5
0.9;7500;85185.9188;1.8;1.5
0.3;8000;89070.6791;1.8;1.5
0.4;8000;88007.9342;1.8;1.5
0.5;8000;87272.6877;1.8;1.5
0.6;8000;86693.6839;1.8;1.5
0.7;8000;85947.6275;1.8;1.5
0.8;8000;85356.5271;1.8;1.5
0.9;8000;84578.1936;1.8;1.5
