Mach;altitude;net thrust;core fuel flow;afterburner fuel flow
Amb.MNf_in;Amb.alt_in;FN;WF;WFaft
-;m;N;kg/s;kg/s
--;--;--;--;--
--;--;--;--;--
0.3;1000;100089.235;1.8;1.2
0.4;1000;97235.6014;1.8;1.2
0.5;1000;94507.915;1.8;1.2
0.6;1000;91893.3982;1.8;1.2
0.7;1000;89384.4595;1.8;1.2
0.8;1000;86956.5612;1.8;1.2
0.9;1000;84517.1034;1.8;1.2
0.3;1500;99860.5545;1.8;1.2
0.4;1500;97072.8785;1.8;1.2
0.5;1500;94411.9315;1.8;1.2
0.6;1500;91854.6064;1.8;1.2
0.7;1500;89384.8279;1.8;1.2
0.8;1500;87008.4918;1.8;1.2
0.9;1500;84661.5905;1.8;1.2
0.3;2000;99552.0004;1.8;1.2
0.4;2000;96863.5209;1.8;1.2
0.5;2000;94267.9673;1.8;1.2
0.6;2000;91771.9347;1.8;1.2
0.7;2000;89357.5368;1.8;1.2
0.8;2000;87015.4211;1.8;1.2
0.9;2000;84742.4661;1.8;1.2
0.3;2500;99128.565;1.8;1.2
0.4;2500;96565.0963;1.8;1.2
0.5;2500;94078.1059;1.8;1.2
0.6;2500;91645.427;1.8;1.2
0.7;2500;89287.536;1.8;1.2
0.8;2500;86992.2165;1.8;1.2
0.9;2500;84764.8496;1.8;1.2
0.3;3000;98647.9915;1.8;1.2
0.4;3000;96161.8445;1.8;1.2
0.5;3000;93804.5497;1.8;1.2
0.6;3000;91475.2797;1.8;1.2
0.7;3000;89178.6885;1.8;1.2
0.8;3000;86936.6908;1.8;1.2
0.9;3000;84743.5408;1.8;1.2
0.3;3500;98129.0278;1.8;1.2
0.4;3500;95713.007;1.8;1.2
0.5;3500;93428.8292;1.8;1.2
0.6;3500;91236.9388;1.8;1.2
0.7;3500;89027.6571;1.8;1.2
0.8;3500;86845.1823;1.8;1.2
0.9;3500;84698.6348;1.8;1.2
0.3;4000;97490.2644;1.8;1.2
0.4;4000;95215.6488;1.8;1.2
0.5;4000;93008.5569;1.8;1.2
0.6;4000;90896.5821;1.8;1.2
0.7;4000;88827.2503;1.8;1.2
0.8;4000;86711.2307;1.8;1.2
0.9;4000;84619.484;1.8;1.2
0.3;4500;96695.5281;1.8;1.2
0.4;4500;94534.1217;1.8;1.2
0.5;4500;92539.3765;1.8;1.2
0.6;4500;90501.7171;1.8;1.2
0.7;4500;88534.7011;1.8;1.2
0.8;4500;86541.0356;1.8;1.2
0.9;4500;84506.3317;1.8;1.2
0.3;5000;95836.4988;1.8;1.2
0.4;5000;93831.1631;1.8;1.2
0.5;5000;91892.7721;1.8;1.2
0.6;5000;90067.3777;1.8;1.2
0.7;5000;88164.3221;1.8;1.2
0.8;5000;86302.824;1.8;1.2
0.9;5000;84355.9953;1.8;1.2
0.3;5500;94819.903;1.8;1.2
0.4;5500;92980.7166;1.8;1.2
0.5;5500;91225.356;1.8;1.2
0.6;5500;89469.7974;1.8;1.2
0.7;5500;87762.2656;1.8;1.2
0.8;5500;85968.9913;1.8;1.2
0.9;5500;84164.2432;1.8;1.2
0.3;6000;93594.1816;1.8;1.2
0.4;6000;91977.8329;1.8;1.2
0.5;6000;90408.8393;1.8;1.2
0.6;6000;88842.5113;1.8;1.2
0.7;6000;87277.4722;1.8;1.2
0.8;6000;85591.8986;1.8;1.2
0.9;6000;83891.1478;1.8;1.2
0.3;6500;91986.7393;1.8;1.2
0.4;6500;90696.7798;1.8;1.2
0.5;6500;89439.5833;1.8;1.2
0.6;6500;88081.5023;1.8;1.2
0.7;6500;86643.5076;1.8;1.2
0.8;6500;85170.4004;1.8;1.2
0.9;6500;83538.5968;1.8;1.2
0.3;7000;90358.1098;1.8;1.2
0.4;7000;89148.4974;1.8;1.2
0.5;7000;88180.655;1.8;1.2
0.6;7000;87165.7061;1.8;1.2
0.7;7000;85955.0737;1.8;1.2
0.8;7000;84592.3835;1.8;1.2
0.9;7000;83157.3458;1.8;1.2
0.3;7500;88921.8694;1.8;1.2
0.4;7500;87593.8958;1.8;1.2
0.5;7500;86696.48;1.8;1.2
0.6;7500;85991.3912;1.8;1.2
0.7;7500;85108.7654;1.8;1.2
0.8;7500;83984.4728;1.8;1.2
0.9;7500;82702.7098;1.8;1.2
0.3;8000;87709.9625;1.8;1.2
0.4;8000;86326.6077;1.8;1.2
0.5;8000;85208.7976;1.8;1.2
0.6;8000;84569.1807;1.8;1.2
0.7;8000;84070.6381;1.8;1.2
0.8;8000;83217.2298;1.8;1.2
0.9;8000;82106.6939;1.8;1.2
