Mach;altitude;net thrust;core fuel flow;afterburner fuel flow
Amb.MNf_in;Amb.alt_in;FN;WF;WFaft
-;m;N;kg/s;kg/s
--;--;--;--;--
--;--;--;--;--
0.3;1000;91962.6229;1.8;0.3
0.4;1000;88669.8789;1.8;0.3
0.5;1000;85484.6544;1.8;0.3
0.6;1000;82356.1696;1.8;0.3
0.7;1000;79227.2124;1.8;0.3
0.8;1000;76096.981;1.8;0.3
0.9;1000;73002.1781;1.8;0.3
0.3;1500;91794.7495;1.8;0.3
0.4;1500;88574.8862;1.8;0.3
0.5;1500;85476.148;1.8;0.3
0.6;1500;82451.6275;1.8;0.3
0.7;1500;79441.453;1.8;0.3
0.8;1500;76402.1545;1.8;0.3
0.9;1500;73361.1929;1.8;0.3
0.3;2000;91584.042;1.8;0.3
0.4;2000;88436.4448;1.8;0.3
0.5;2000;85407.2781;1.8;0.3
0.6;2000;82469.6343;1.8;0.3
0.7;2000;79572.5928;1.8;0.3
0.8;2000;76645.954;1.8;0.3
0.9;2000;73679.3615;1.8;0.3
0.3;2500;91318.0479;1.8;0.3
0.4;2500;88249.3179;1.8;0.3
0.5;2500;85292.4192;1.8;0.3
0.6;2500;82428.2299;1.8;0.3
0.7;2500;79622.6499;1.8;0.3
0.8;2500;76816.2312;1.8;0.3
0.9;2500;73948.2381;1.8;0.3
0.3;3000;91007.7767;1.8;0.3
0.4;3000;88013.274;1.8;0.3
0.5;3000;85133.1085;1.8;0.3
0.6;3000;82336.2789;1.8;0.3
0.7;3000;79608.9376;1.8;0.3
0.8;3000;76906.5086;1.8;0.3
0.9;3000;74155.1435;1.8;0.3
0.3;3500;90627.2316;1.8;0.3
0.4;3500;87730.5843;1.8;0.3
0.5;3500;84925.895;1.8;0.3
0.6;3500;82205.9492;1.8;0.3
0.7;3500;79542.702;1.8;0.3
0.8;3500;76924.8012;1.8;0.3
0.9;3500;74290.4575;1.8;0.3
0.3;4000;90149.1383;1.8;0.3
0.4;4000;87370.8341;1.8;0.3
0.5;4000;84671.6653;1.8;0.3
0.6;4000;82026.8113;1.8;0.3
0.7;4000;79439.5192;1.8;0.3
0.8;4000;76887.0815;1.8;0.3
0.9;4000;74348.4784;1.8;0.3
0.3;4500;89598.5373;1.8;0.3
0.4;4500;86917.7735;1.8;0.3
0.5;4500;84342.8632;1.8;0.3
0.6;4500;81802.7539;1.8;0.3
0.7;4500;79288.8344;1.8;0.3
0.8;4500;76806.5239;1.8;0.3
0.9;4500;74345.1536;1.8;0.3
0.3;5000;88768.808;1.8;0.3
0.4;5000;86387.7284;1.8;0.3
0.5;5000;83924.9136;1.8;0.3
0.6;5000;81512.2779;1.8;0.3
0.7;5000;79094.765;1.8;0.3
0.8;5000;76686.7123;1.8;0.3
0.9;5000;74290.9209;1.8;0.3
0.3;5500;87377.6788;1.8;0.3
0.4;5500;85495.5715;1.8;0.3
0.5;5500;83430.5391;1.8;0.3
0.6;5500;81137.3008;1.8;0.3
0.7;5500;78847.128;1.8;0.3
0.8;5500;76521.9709;1.8;0.3
0.9;5500;74198.7184;1.8;0.3
0.3;6000;85896.3392;1.8;0.3
0.4;6000;84106.5695;1.8;0.3
0.5;6000;82567.7099;1.8;0.3
0.6;6000;80696.089;1.8;0.3
0.7;6000;78524.6201;1.8;0.3
0.8;6000;76316.8925;1.8;0.3
0.9;6000;74065.157;1.8;0.3
0.3;6500;84457.157;1.8;0.3
0.4;6500;82741.6964;1.8;0.3
0.5;6500;81245.4401;1.8;0.3
0.6;6500;79946.4959;1.8;0.3
0.7;6500;78134.1406;1.8;0.3
0.8;6500;76048.8622;1.8;0.3
0.9;6500;73895.6562;1.8;0.3
0.3;7000;83075.0432;1.8;0.3
0.4;7000;81385.1613;1.8;0.3
0.5;7000;79961.4752;1.8;0.3
0.6;7000;78720.5037;1.8;0.3
0.7;7000;77545.9274;1.8;0.3
0.8;7000;75703.3276;1.8;0.3
0.9;7000;73680.0683;1.8;0.3
0.3;7500;81834.1422;1.8;0.3
0.4;7500;80122.1137;1.8;0.3
0.5;7500;78681.2304;1.8;0.3
0.6;7500;77497.9426;1.8;0.3
0.7;7500;76474.4361;1.8;0.3
0.8;7500;75264.5932;1.8;0.3
0.9;7500;73393.8059;1.8;0.3
0.3;8000;80686.621;1.8;0.3
0.4;8000;78984.0795;1.8;0.3
0.5;8000;77504.822;1.8;0.3
0.6;8000;76283.4081;1.8;0.3
0.7;8000;75291.4411;1.8;0.3
0.8;8000;74438.8312;1.8;0.3
0.9;8000;73039.237;1.8;0.3
