Mach;altitude;net thrust;core fuel flow;afterburner fuel flow
Amb.MNf_in;Amb.alt_in;FN;WF;WFaft
-;m;N;kg/s;kg/s
--;--;--;--;--
--;--;--;--;--
0.3;1000;88272.9496;1.8;0
0.4;1000;84742.4729;1.8;0
0.5;1000;81292.6335;1.8;0
0.6;1000;77874.7257;1.8;0
0.7;1000;74484.86;1.8;0
0.8;1000;71140.2618;1.8;0
0.9;1000;67899.2382;1.8;0
0.3;1500;88216.7114;1.8;0
0.4;1500;84775.1156;1.8;0
0.5;1500;81424.5669;1.8;0
0.6;1500;78119.7302;1.8;0
0.7;1500;74817.3007;1.8;0
0.8;1500;71529.2721;1.8;0
0.9;1500;68299.0514;1.8;0
0.3;2000;88088.6157;1.8;0
0.4;2000;84737.0659;1.8;0
0.5;2000;81478.0357;1.8;0
0.6;2000;78278.177;1.8;0
0.7;2000;75086.7361;1.8;0
0.8;2000;71877.4261;1.8;0
0.9;2000;68683.2181;1.8;0
0.3;2500;87898.9481;1.8;0
0.4;2500;84630.7049;1.8;0
0.5;2500;81462.6104;1.8;0
0.6;2500;78356.7801;1.8;0
0.7;2500;75277.8076;1.8;0
0.8;2500;72168.9247;1.8;0
0.9;2500;69039.6168;1.8;0
0.3;3000;87633.2843;1.8;0
0.4;3000;84465.9719;1.8;0
0.5;3000;81383.0994;1.8;0
0.6;3000;78368.3334;1.8;0
0.7;3000;75385.7667;1.8;0
0.8;3000;72394.9573;1.8;0
0.9;3000;69351.9229;1.8;0
0.3;3500;87277.1593;1.8;0
0.4;3500;84221.8416;1.8;0
0.5;3500;81244.2101;1.8;0
0.6;3500;78316.7171;1.8;0
0.7;3500;75427.9769;1.8;0
0.8;3500;72540.9895;1.8;0
0.9;3500;69608.3952;1.8;0
0.3;4000;86858.0553;1.8;0
0.4;4000;83892.9739;1.8;0
0.5;4000;81030.6858;1.8;0
0.6;4000;78208.4721;1.8;0
0.7;4000;75406.9475;1.8;0
0.8;4000;72616.933;1.8;0
0.9;4000;69800.494;1.8;0
0.3;4500;86135.1051;1.8;0
0.4;4500;83490.6687;1.8;0
0.5;4500;80735.967;1.8;0
0.6;4500;78032.1322;1.8;0
0.7;4500;75331.3467;1.8;0
0.8;4500;72630.959;1.8;0
0.9;4500;69913.9892;1.8;0
0.3;5000;84828.0835;1.8;0
0.4;5000;82693.8006;1.8;0
0.5;5000;80364.6613;1.8;0
0.6;5000;77775.4702;1.8;0
0.7;5000;75196.1582;1.8;0
0.8;5000;72588.2031;1.8;0
0.9;5000;69965.0923;1.8;0
0.3;5500;83429.7764;1.8;0
0.4;5500;81412.4196;1.8;0
0.5;5500;79604.6528;1.8;0
0.6;5500;77454.2704;1.8;0
0.7;5500;74985.031;1.8;0
0.8;5500;72494.3426;1.8;0
0.9;5500;69959.1379;1.8;0
0.3;6000;81981.23;1.8;0
0.4;6000;80102.1424;1.8;0
0.5;6000;78398.8655;1.8;0
0.6;6000;76821.3705;1.8;0
0.7;6000;74710.8985;1.8;0
0.8;6000;72332.2911;1.8;0
0.9;6000;69901.994;1.8;0
0.3;6500;80486.7076;1.8;0
0.4;6500;78732.8691;1.8;0
0.5;6500;77165.5657;1.8;0
0.6;6500;75712.5986;1.8;0
0.7;6500;74254.0224;1.8;0
0.8;6500;72098.6661;1.8;0
0.9;6500;69788.6199;1.8;0
0.3;7000;78953.3749;1.8;0
0.4;7000;77314.9485;1.8;0
0.5;7000;75876.7976;1.8;0
0.6;7000;74556.1985;1.8;0
0.7;7000;73300.7472;1.8;0
0.8;7000;71788.266;1.8;0
0.9;7000;69608.6231;1.8;0
0.3;7500;77532.5481;1.8;0
0.4;7500;75902.9429;1.8;0
0.5;7500;74535.9918;1.8;0
0.6;7500;73346.5928;1.8;0
0.7;7500;72211.4692;1.8;0
0.8;7500;71095.1564;1.8;0
0.9;7500;69371.8155;1.8;0
0.3;8000;76126.9211;1.8;0
0.4;8000;74573.5321;1.8;0
0.5;8000;73218.7736;1.8;0
0.6;8000;72085.5416;1.8;0
0.7;8000;71081.1532;1.8;0
0.8;8000;70072.9426;1.8;0
0.9;8000;68966.7124;1.8;0
