Mach;altitude;net thrust;core fuel flow;afterburner fuel flow
Amb.MNf_in;Amb.alt_in;FN;WF;WFaft
-;m;N;kg/s;kg/s
--;--;--;--;--
--;--;--;--;--
0.3;1000;107931.401;1.8;2.7
0.4;1000;105777.111;1.8;2.7
0.5;1000;103775.703;1.8;2.7
0.6;1000;101891.016;1.8;2.7
0.7;1000;100099.72;1.8;2.7
0.8;1000;98386.9926;1.8;2.7
0.9;1000;96782.0035;1.8;2.7
0.3;1500;107503.075;1.8;2.7
0.4;1500;105398.839;1.8;2.7
0.5;1500;103479.677;1.8;2.7
0.6;1500;101657.049;1.8;2.7
0.7;1500;99927.884;1.8;2.7
0.8;1500;98265.4956;1.8;2.7
0.9;1500;96684.0082;1.8;2.7
0.3;2000;107067.383;1.8;2.7
0.4;2000;105008.476;1.8;2.7
0.5;2000;103114.103;1.8;2.7
0.6;2000;101381.054;1.8;2.7
0.7;2000;99706.2646;1.8;2.7
0.8;2000;98102.4291;1.8;2.7
0.9;2000;96545.1516;1.8;2.7
0.3;2500;106633.238;1.8;2.7
0.4;2500;104594.424;1.8;2.7
0.5;2500;102737.61;1.8;2.7
0.6;2500;101044.576;1.8;2.7
0.7;2500;99447.673;1.8;2.7
0.8;2500;97896.5131;1.8;2.7
0.9;2500;96391.5544;1.8;2.7
0.3;3000;106040.237;1.8;2.7
0.4;3000;104177.143;1.8;2.7
0.5;3000;102335.416;1.8;2.7
0.6;3000;100658.108;1.8;2.7
0.7;3000;99123.0904;1.8;2.7
0.8;3000;97641.7711;1.8;2.7
0.9;3000;96191.0189;1.8;2.7
0.3;3500;105252.373;1.8;2.7
0.4;3500;103564.744;1.8;2.7
0.5;3500;101930.28;1.8;2.7
0.6;3500;100261.548;1.8;2.7
0.7;3500;98743.1311;1.8;2.7
0.8;3500;97343.2892;1.8;2.7
0.9;3500;95954.1468;1.8;2.7
0.3;4000;104299.92;1.8;2.7
0.4;4000;102770.01;1.8;2.7
0.5;4000;101337.846;1.8;2.7
0.6;4000;99865.8484;1.8;2.7
0.7;4000;98351.2419;1.8;2.7
0.8;4000;96970.7273;1.8;2.7
0.9;4000;95668.8804;1.8;2.7
0.3;4500;103324.912;1.8;2.7
0.4;4500;101839.253;1.8;2.7
0.5;4500;100571.195;1.8;2.7
0.6;4500;99326.2742;1.8;2.7
0.7;4500;97954.6698;1.8;2.7
0.8;4500;96582.9524;1.8;2.7
0.9;4500;95330.3895;1.8;2.7
0.3;5000;102421.215;1.8;2.7
0.4;5000;100921.347;1.8;2.7
0.5;5000;99664.763;1.8;2.7
0.6;5000;98612.1066;1.8;2.7
0.7;5000;97488.1611;1.8;2.7
0.8;5000;96176.8533;1.8;2.7
0.9;5000;94931.5465;1.8;2.7
0.3;5500;101588.803;1.8;2.7
0.4;5500;100071.761;1.8;2.7
0.5;5500;98787.0577;1.8;2.7
0.6;5500;97736.5604;1.8;2.7
0.7;5500;96845.8534;1.8;2.7
0.8;5500;95776.4662;1.8;2.7
0.9;5500;94526.2118;1.8;2.7
0.3;6000;100829.208;1.8;2.7
0.4;6000;99284.7454;1.8;2.7
0.5;6000;97969.524;1.8;2.7
0.6;6000;96876.968;1.8;2.7
0.7;6000;96018.3578;1.8;2.7
0.8;6000;95212.6684;1.8;2.7
0.9;6000;94117.3143;1.8;2.7
0.3;6500;99781.3497;1.8;2.7
0.4;6500;98583.7617;1.8;2.7
0.5;6500;97209.9896;1.8;2.7
0.6;6500;96074.7905;1.8;2.7
0.7;6500;95160.6093;1.8;2.7
0.8;6500;94468.1578;1.8;2.7
0.9;6500;93665.6901;1.8;2.7
0.3;7000;98477.0606;1.8;2.7
0.4;7000;97425.5464;1.8;2.7
0.5;7000;96536.3469;1.8;2.7
0.6;7000;95326.0322;1.8;2.7
0.7;7000;94364.0622;1.8;2.7
0.8;7000;93620.3732;1.8;2.7
0.9;7000;93029.3227;1.8;2.7
0.3;7500;97149.4063;1.8;2.7
0.4;7500;96163.4602;1.8;2.7
0.5;7500;95375.9042;1.8;2.7
0.6;7500;94659.2239;1.8;2.7
0.7;7500;93610.3119;1.8;2.7
0.8;7500;92820.1986;1.8;2.7
0.9;7500;92228.7858;1.8;2.7
0.3;8000;95866.378;1.8;2.7
0.4;8000;94884.4881;1.8;2.7
0.5;8000;94146.5304;1.8;2.7
0.6;8000;93586.2068;1.8;2.7
0.7;8000;92933.6358;1.8;2.7
0.8;8000;92048.0157;1.8;2.7
0.9;8000;91408.9181;1.8;2.7
