Mach;altitude;net thrust;core fuel flow;afterburner fuel flow
Amb.MNf_in;Amb.alt_in;FN;WF;WFaft
-;m;N;kg/s;kg/s
--;--;--;--;--
--;--;--;--;--
0.3;1000;97780.4798;1.8;0.9
0.4;1000;94770.5194;1.8;0.9
0.5;1000;91867.305;1.8;0.9
0.6;1000;89082.105;1.8;0.9
0.7;1000;86407.1125;1.8;0.9
0.8;1000;83786.4158;1.8;0.9
0.9;1000;81146.682;1.8;0.9
0.3;1500;97554.0992;1.8;0.9
0.4;1500;94644.8195;1.8;0.9
0.5;1500;91826.8232;1.8;0.9
0.6;1500;89086.3176;1.8;0.9
0.7;1500;86450.6703;1.8;0.9
0.8;1500;83900.2332;1.8;0.9
0.9;1500;81354.9865;1.8;0.9
0.3;2000;97239.2356;1.8;0.9
0.4;2000;94434.4151;1.8;0.9
0.5;2000;91721.8022;1.8;0.9
0.6;2000;89062.7071;1.8;0.9
0.7;2000;86462.4355;1.8;0.9
0.8;2000;83956.5321;1.8;0.9
0.9;2000;81498.0022;1.8;0.9
0.3;2500;96844.6081;1.8;0.9
0.4;2500;94139.3068;1.8;0.9
0.5;2500;91535.5045;1.8;0.9
0.6;2500;88982.6273;1.8;0.9
0.7;2500;86449.9981;1.8;0.9
0.8;2500;83975.6141;1.8;0.9
0.9;2500;81576.8118;1.8;0.9
0.3;3000;96413.691;1.8;0.9
0.4;3000;93769.2684;1.8;0.9
0.5;3000;91267.4614;1.8;0.9
0.6;3000;88826.9277;1.8;0.9
0.7;3000;86396.4118;1.8;0.9
0.8;3000;83969.1592;1.8;0.9
0.9;3000;81607.0465;1.8;0.9
0.3;3500;95961.4679;1.8;0.9
0.4;3500;93378.4557;1.8;0.9
0.5;3500;90926.5019;1.8;0.9
0.6;3500;88591.3702;1.8;0.9
0.7;3500;86276.4346;1.8;0.9
0.8;3500;83936.5438;1.8;0.9
0.9;3500;81605.8318;1.8;0.9
0.3;4000;95376.3564;1.8;0.9
0.4;4000;92946.8039;1.8;0.9
0.5;4000;90565.3761;1.8;0.9
0.6;4000;88283.8774;1.8;0.9
0.7;4000;86079.4671;1.8;0.9
0.8;4000;83851.9385;1.8;0.9
0.9;4000;81581.7064;1.8;0.9
0.3;4500;94647.0865;1.8;0.9
0.4;4500;92368.124;1.8;0.9
0.5;4500;90162.452;1.8;0.9
0.6;4500;87944.316;1.8;0.9
0.7;4500;85810.7591;1.8;0.9
0.8;4500;83698.3936;1.8;0.9
0.9;4500;81527.9394;1.8;0.9
0.3;5000;93783.0832;1.8;0.9
0.4;5000;91664.1129;1.8;0.9
0.5;5000;89614.2253;1.8;0.9
0.6;5000;87577.6803;1.8;0.9
0.7;5000;85488.8207;1.8;0.9
0.8;5000;83472.676;1.8;0.9
0.9;5000;81418.1554;1.8;0.9
0.3;5500;92803.4961;1.8;0.9
0.4;5500;90845.3157;1.8;0.9
0.5;5500;88948.1363;1.8;0.9
0.6;5500;87080.7322;1.8;0.9
0.7;5500;85156.3084;1.8;0.9
0.8;5500;83180.1171;1.8;0.9
0.9;5500;81240.5217;1.8;0.9
0.3;6000;91538.6208;1.8;0.9
0.4;6000;89834.4399;1.8;0.9
0.5;6000;88172.6154;1.8;0.9
0.6;6000;86461.0045;1.8;0.9
0.7;6000;84727.0312;1.8;0.9
0.8;6000;82863.9946;1.8;0.9
0.9;6000;80992.5469;1.8;0.9
0.3;6500;90106.2502;1.8;0.9
0.4;6500;88587.7514;1.8;0.9
0.5;6500;87190.2426;1.8;0.9
0.6;6500;85726.6371;1.8;0.9
0.7;6500;84162.1563;1.8;0.9
0.8;6500;82504.3728;1.8;0.9
0.9;6500;80687.2416;1.8;0.9
0.3;7000;88683.8086;1.8;0.9
0.4;7000;87215.1687;1.8;0.9
0.5;7000;85990.1355;1.8;0.9
0.6;7000;84826.9566;1.8;0.9
0.7;7000;83507.078;1.8;0.9
0.8;7000;82011.7801;1.8;0.9
0.9;7000;80372.361;1.8;0.9
0.3;7500;87330.8854;1.8;0.9
0.4;7500;85874.0256;1.8;0.9
0.5;7500;84677.5985;1.8;0.9
0.6;7500;83696.2745;1.8;0.9
0.7;7500;82691.7457;1.8;0.9
0.8;7500;81414.2426;1.8;0.9
0.9;7500;79973.0724;1.8;0.9
0.3;8000;86101.801;1.8;0.9
0.4;8000;84617.6157;1.8;0.9
0.5;8000;83404.1902;1.8;0.9
0.6;8000;82438.2705;1.8;0.9
0.7;8000;81648.0143;1.8;0.9
0.8;8000;80727.6916;1.8;0.9
0.9;8000;79443.4537;1.8;0.9
