Mach;altitude;net thrust;core fuel flow;afterburner fuel flow
Amb.MNf_in;Amb.alt_in;FN;WF;WFaft
-;m;N;kg/s;kg/s
--;--;--;--;--
--;--;--;--;--
0.3;1000;45466.1879;0.9;0
0.4;1000;43215.8236;0.9;0
0.5;1000;41059.0062;0.9;0
0.6;1000;38986.2005;0.9;0
0.7;1000;36992.8387;0.9;0
0.8;1000;35085.5457;0.9;0
0.9;1000;33232.8603;0.9;0
0.3;1500;45795.9803;0.9;0
0.4;1500;43566.1217;0.9;0
0.5;1500;41432.0938;0.9;0
0.6;1500;39383.0193;0.9;0
0.7;1500;37448.115;0.9;0
0.8;1500;35511.0963;0.9;0
0.9;1500;33685.0551;0.9;0
0.3;2000;46111.1498;0.9;0
0.4;2000;43899.1236;0.9;0
0.5;2000;41779.7351;0.9;0
0.6;2000;39750.7715;0.9;0
0.7;2000;37797.8292;0.9;0
0.8;2000;35910.5263;0.9;0
0.9;2000;34100.4314;0.9;0
0.3;2500;46416.8854;0.9;0
0.4;2500;44217.7356;0.9;0
0.5;2500;42110.1149;0.9;0
0.6;2500;40092.3484;0.9;0
0.7;2500;38158.605;0.9;0
0.8;2500;36291.2424;0.9;0
0.9;2500;34487.791;0.9;0
0.3;3000;46709.0472;0.9;0
0.4;3000;44527.1151;0.9;0
0.5;3000;42426.0824;0.9;0
0.6;3000;40415.6603;0.9;0
0.7;3000;38492.4974;0.9;0
0.8;3000;36643.9435;0.9;0
0.9;3000;34861.063;0.9;0
0.3;3500;46979.3931;0.9;0
0.4;3500;44821.0061;0.9;0
0.5;3500;42732.7784;0.9;0
0.6;3500;40724.4756;0.9;0
0.7;3500;38805.7126;0.9;0
0.8;3500;36969.4815;0.9;0
0.9;3500;35195.4157;0.9;0
0.3;4000;47211.8893;0.9;0
0.4;4000;45088.9963;0.9;0
0.5;4000;43022.4312;0.9;0
0.6;4000;41021.8478;0.9;0
0.7;4000;39102.8102;0.9;0
0.8;4000;37271.1481;0.9;0
0.9;4000;35513.326;0.9;0
0.3;4500;47391.377;0.9;0
0.4;4500;45318.031;0.9;0
0.5;4500;43288.2668;0.9;0
0.6;4500;41305.2623;0.9;0
0.7;4500;39388.0064;0.9;0
0.8;4500;37555.4536;0.9;0
0.9;4500;35805.2213;0.9;0
0.3;5000;47511.5847;0.9;0
0.4;5000;45493.7216;0.9;0
0.5;5000;43515.8506;0.9;0
0.6;5000;41567.9059;0.9;0
0.7;5000;39662.7571;0.9;0
0.8;5000;37826.864;0.9;0
0.9;5000;36076.937;0.9;0
0.3;5500;47569.1916;0.9;0
0.4;5500;45612.2446;0.9;0
0.5;5500;43692.5642;0.9;0
0.6;5500;41797.1363;0.9;0
0.7;5500;39921.3377;0.9;0
0.8;5500;38090.8401;0.9;0
0.9;5500;36335.7165;0.9;0
0.3;6000;47565.9062;0.9;0
0.4;6000;45669.4435;0.9;0
0.5;6000;43814.399;0.9;0
0.6;6000;41978.7422;0.9;0
0.7;6000;40152.5977;0.9;0
0.8;6000;38342.1146;0.9;0
0.9;6000;36584.9328;0.9;0
0.3;6500;47514.9105;0.9;0
0.4;6500;45670.9663;0.9;0
0.5;6500;43877.2567;0.9;0
0.6;6500;42108.2479;0.9;0
0.7;6500;40341.5912;0.9;0
0.8;6500;38573.2233;0.9;0
0.9;6500;36826.3064;0.9;0
0.3;7000;47420.0066;0.9;0
0.4;7000;45628.0872;0.9;0
0.5;7000;43887.5394;0.9;0
0.6;7000;42181.3604;0.9;0
0.7;7000;40481.8022;0.9;0
0.8;7000;38770.671;0.9;0
0.9;7000;37053.8543;0.9;0
0.3;7500;47278.9882;0.9;0
0.4;7500;45544.1587;0.9;0
0.5;7500;43856.4096;0.9;0
0.6;7500;42204.2596;0.9;0
0.7;7500;40569.5127;0.9;0
0.8;7500;38923.5981;0.9;0
0.9;7500;37257.7311;0.9;0
0.3;8000;47076.1911;0.9;0
0.4;8000;45410.1773;0.9;0
0.5;8000;43784.7225;0.9;0
0.6;8000;42185.8627;0.9;0
0.7;8000;40606.962;0.9;0
0.8;8000;39029.5492;0.9;0
0.9;8000;37425.0561;0.9;0
