Mach;altitude;net thrust;core fuel flow;afterburner fuel flow
Amb.MNf_in;Amb.alt_in;FN;WF;WFaft
-;m;N;kg/s;kg/s
--;--;--;--;--
--;--;--;--;--
0.3;1000;105291.398;1.8;2.1
0.4;1000;102911.843;1.8;2.1
0.5;1000;100675.305;1.8;2.1
0.6;1000;98534.8142;1.8;2.1
0.7;1000;96476.5679;1.8;2.1
0.8;1000;94504.3739;1.8;2.1
0.9;1000;92606.7536;1.8;2.1
0.3;1500;104889.531;1.8;2.1
0.4;1500;102586.707;1.8;2.1
0.5;1500;100423.267;1.8;2.1
0.6;1500;98365.6856;1.8;2.1
0.7;1500;96367.7789;1.8;2.1
0.8;1500;94438.5251;1.8;2.1
0.9;1500;92581.1747;1.8;2.1
0.3;2000;104420.218;1.8;2.1
0.4;2000;102206.991;1.8;2.1
0.5;2000;100115.076;1.8;2.1
0.6;2000;98132.2729;1.8;2.1
0.7;2000;96216.7877;1.8;2.1
0.8;2000;94334.6398;1.8;2.1
0.9;2000;92511.7756;1.8;2.1
0.3;2500;103928.167;1.8;2.1
0.4;2500;101753.626;1.8;2.1
0.5;2500;99754.2625;1.8;2.1
0.6;2500;97842.6666;1.8;2.1
0.7;2500;96005.0515;1.8;2.1
0.8;2500;94197.0022;1.8;2.1
0.9;2500;92418.1899;1.8;2.1
0.3;3000;103439.642;1.8;2.1
0.4;3000;101296.139;1.8;2.1
0.5;3000;99324.6498;1.8;2.1
0.6;3000;97498.667;1.8;2.1
0.7;3000;95733.9278;1.8;2.1
0.8;3000;94012.9884;1.8;2.1
0.9;3000;92286.8492;1.8;2.1
0.3;3500;102897.772;1.8;2.1
0.4;3500;100830.32;1.8;2.1
0.5;3500;98886.4038;1.8;2.1
0.6;3500;97098.4245;1.8;2.1
0.7;3500;95411.7986;1.8;2.1
0.8;3500;93765.0656;1.8;2.1
0.9;3500;92121.1513;1.8;2.1
0.3;4000;102155.895;1.8;2.1
0.4;4000;100292.128;1.8;2.1
0.5;4000;98438.5713;1.8;2.1
0.6;4000;96667.9135;1.8;2.1
0.7;4000;95044.2816;1.8;2.1
0.8;4000;93468.2991;1.8;2.1
0.9;4000;91903.1026;1.8;2.1
0.3;4500;101291.194;1.8;2.1
0.4;4500;99541.7032;1.8;2.1
0.5;4500;97919.6304;1.8;2.1
0.6;4500;96235.4964;1.8;2.1
0.7;4500;94616.1219;1.8;2.1
0.8;4500;93122.9627;1.8;2.1
0.9;4500;91629.6505;1.8;2.1
0.3;5000;100433.091;1.8;2.1
0.4;5000;98707.7045;1.8;2.1
0.5;5000;97189.4937;1.8;2.1
0.6;5000;95752.9004;1.8;2.1
0.7;5000;94193.1079;1.8;2.1
0.8;5000;92715.6675;1.8;2.1
0.9;5000;91309.3237;1.8;2.1
0.3;5500;99279.0279;1.8;2.1
0.4;5500;97906.2283;1.8;2.1
0.5;5500;96388.5922;1.8;2.1
0.6;5500;95066.4434;1.8;2.1
0.7;5500;93738.1199;1.8;2.1
0.8;5500;92287.973;1.8;2.1
0.9;5500;90941.9689;1.8;2.1
0.3;6000;97994.7931;1.8;2.1
0.4;6000;96690.6968;1.8;2.1
0.5;6000;95622.3889;1.8;2.1
0.6;6000;94293.5436;1.8;2.1
0.7;6000;93133.0391;1.8;2.1
0.8;6000;91854.2343;1.8;2.1
0.9;6000;90506.9435;1.8;2.1
0.3;6500;96697.4766;1.8;2.1
0.4;6500;95459.5069;1.8;2.1
0.5;6500;94427.7924;1.8;2.1
0.6;6500;93543.1377;1.8;2.1
0.7;6500;92390.9714;1.8;2.1
0.8;6500;91344.619;1.8;2.1
0.9;6500;90077.7486;1.8;2.1
0.3;7000;95388.7558;1.8;2.1
0.4;7000;94203.3229;1.8;2.1
0.5;7000;93238.2624;1.8;2.1
0.6;7000;92442.6066;1.8;2.1
0.7;7000;91643.9035;1.8;2.1
0.8;7000;90651.1331;1.8;2.1
0.9;7000;89620.616;1.8;2.1
0.3;7500;94067.7814;1.8;2.1
0.4;7500;92939.3746;1.8;2.1
0.5;7500;92019.1626;1.8;2.1
0.6;7500;91287.387;1.8;2.1
0.7;7500;90688.0826;1.8;2.1
0.8;7500;89909.0416;1.8;2.1
0.9;7500;89036.404;1.8;2.1
0.3;8000;92625.5785;1.8;2.1
0.4;8000;91663.9887;1.8;2.1
0.5;8000;90789.8264;1.8;2.1
0.6;8000;90099.5468;1.8;2.1
0.7;8000;89564.9742;1.8;2.1
0.8;8000;89131.0395;1.8;2.1
0.9;8000;88318.6301;1.8;2.1
