Mach;altitude;net thrust;core fuel flow;afterburner fuel flow
Amb.MNf_in;Amb.alt_in;FN;WF;WFaft
-;m;N;kg/s;kg/s
--;--;--;--;--
--;--;--;--;--
0.3;1000;106671.223;1.8;2.4
0.4;1000;104425.586;1.8;2.4
0.5;1000;102306.613;1.8;2.4
0.6;1000;100288.184;1.8;2.4
0.7;1000;98366.0048;1.8;2.4
0.8;1000;96530.0156;1.8;2.4
0.9;1000;94780.2179;1.8;2.4
0.3;1500;106234.84;1.8;2.4
0.4;1500;104063.437;1.8;2.4
0.5;1500;102035.031;1.8;2.4
0.6;1500;100093.422;1.8;2.4
0.7;1500;98227.3182;1.8;2.4
0.8;1500;96430.4056;1.8;2.4
0.9;1500;94718.4695;1.8;2.4
0.3;2000;105827.767;1.8;2.4
0.4;2000;103655.558;1.8;2.4
0.5;2000;101688.211;1.8;2.4
0.6;2000;99844.1723;1.8;2.4
0.7;2000;98045.981;1.8;2.4
0.8;2000;96305.2266;1.8;2.4
0.9;2000;94616.7589;1.8;2.4
0.3;2500;105343.74;1.8;2.4
0.4;2500;103272.435;1.8;2.4
0.5;2500;101299.02;1.8;2.4
0.6;2500;99514.3901;1.8;2.4
0.7;2500;97814.3718;1.8;2.4
0.8;2500;96129.8755;1.8;2.4
0.9;2500;94489.5087;1.8;2.4
0.3;3000;104784.356;1.8;2.4
0.4;3000;102793.347;1.8;2.4
0.5;3000;100930.444;1.8;2.4
0.6;3000;99132.5732;1.8;2.4
0.7;3000;97511.3023;1.8;2.4
0.8;3000;95915.2541;1.8;2.4
0.9;3000;94327.707;1.8;2.4
0.3;3500;104103.932;1.8;2.4
0.4;3500;102243.993;1.8;2.4
0.5;3500;100470.271;1.8;2.4
0.6;3500;98773.4223;1.8;2.4
0.7;3500;97129.5935;1.8;2.4
0.8;3500;95644.8336;1.8;2.4
0.9;3500;94124.9345;1.8;2.4
0.3;4000;103261.067;1.8;2.4
0.4;4000;101560.104;1.8;2.4
0.5;4000;99937.2524;1.8;2.4
0.6;4000;98343.6197;1.8;2.4
0.7;4000;96778.2699;1.8;2.4
0.8;4000;95305.8241;1.8;2.4
0.9;4000;93876.0126;1.8;2.4
0.3;4500;102275.091;1.8;2.4
0.4;4500;100726.824;1.8;2.4
0.5;4500;99276.9085;1.8;2.4
0.6;4500;97835.6007;1.8;2.4
0.7;4500;96383.4239;1.8;2.4
0.8;4500;94920.5048;1.8;2.4
0.9;4500;93573.4987;1.8;2.4
0.3;5000;101351.911;1.8;2.4
0.4;5000;99768.9381;1.8;2.4
0.5;5000;98466.2058;1.8;2.4
0.6;5000;97217.5641;1.8;2.4
0.7;5000;95901.837;1.8;2.4
0.8;5000;94551.474;1.8;2.4
0.9;5000;93141.6337;1.8;2.4
0.3;5500;100563.065;1.8;2.4
0.4;5500;98917.9035;1.8;2.4
0.5;5500;97542.7325;1.8;2.4
0.6;5500;96443.0809;1.8;2.4
0.7;5500;95336.7987;1.8;2.4
0.8;5500;94102.4391;1.8;2.4
0.9;5500;92815.0368;1.8;2.4
0.3;6000;99489.3065;1.8;2.4
0.4;6000;98190.9439;1.8;2.4
0.5;6000;96731.1885;1.8;2.4
0.6;6000;95553.0843;1.8;2.4
0.7;6000;94617.7171;1.8;2.4
0.8;6000;93588.9437;1.8;2.4
0.9;6000;92415.4887;1.8;2.4
0.3;6500;98167.341;1.8;2.4
0.4;6500;97014.9629;1.8;2.4
0.5;6500;96032.7977;1.8;2.4
0.6;6500;94747.2712;1.8;2.4
0.7;6500;93769.3768;1.8;2.4
0.8;6500;92946.7314;1.8;2.4
0.9;6500;91937.4769;1.8;2.4
0.3;7000;96831.6336;1.8;2.4
0.4;7000;95725.5324;1.8;2.4
0.5;7000;94853.3478;1.8;2.4
0.6;7000;94059.2391;1.8;2.4
0.7;7000;92944.1412;1.8;2.4
0.8;7000;92167.5759;1.8;2.4
0.9;7000;91376.0314;1.8;2.4
0.3;7500;95533.5181;1.8;2.4
0.4;7500;94454.2842;1.8;2.4
0.5;7500;93608.1834;1.8;2.4
0.6;7500;92963.5061;1.8;2.4
0.7;7500;92245.6103;1.8;2.4
0.8;7500;91314.9017;1.8;2.4
0.9;7500;90674.1542;1.8;2.4
0.3;8000;94267.4061;1.8;2.4
0.4;8000;93221.3566;1.8;2.4
0.5;8000;92382.649;1.8;2.4
0.6;8000;91758.8808;1.8;2.4
0.7;8000;91303.4495;1.8;2.4
0.8;8000;90580.8618;1.8;2.4
0.9;8000;89853.5038;1.8;2.4
