Mach;altitude;net thrust;core fuel flow;afterburner fuel flow
Amb.MNf_in;Amb.alt_in;FN;WF;WFaft
-;m;N;kg/s;kg/s
--;--;--;--;--
--;--;--;--;--
0.3;1000;103761.653;1.8;1.8
0.4;1000;101240.222;1.8;1.8
0.5;1000;98853.8911;1.8;1.8
0.6;1000;96593.1346;1.8;1.8
0.7;1000;94399.1885;1.8;1.8
0.8;1000;92266.7594;1.8;1.8
0.9;1000;90192.0683;1.8;1.8
0.3;1500;103408.888;1.8;1.8
0.4;1500;100961.209;1.8;1.8
0.5;1500;98647.0343;1.8;1.8
0.6;1500;96437.9167;1.8;1.8
0.7;1500;94324.663;1.8;1.8
0.8;1500;92238.38;1.8;1.8
0.9;1500;90218.5186;1.8;1.8
0.3;2000;102989.903;1.8;1.8
0.4;2000;100624.728;1.8;1.8
0.5;2000;98386.394;1.8;1.8
0.6;2000;96246.1001;1.8;1.8
0.7;2000;94186.9108;1.8;1.8
0.8;2000;92184.2832;1.8;1.8
0.9;2000;90198.8028;1.8;1.8
0.3;2500;102473.555;1.8;1.8
0.4;2500;100223.088;1.8;1.8
0.5;2500;98068.6128;1.8;1.8
0.6;2500;96005.7723;1.8;1.8
0.7;2500;94009.1542;1.8;1.8
0.8;2500;92074.2651;1.8;1.8
0.9;2500;90145.7159;1.8;1.8
0.3;3000;102038.387;1.8;1.8
0.4;3000;99741.8216;1.8;1.8
0.5;3000;97687.962;1.8;1.8
0.6;3000;95709.3003;1.8;1.8
0.7;3000;93790.1153;1.8;1.8
0.8;3000;91908.6483;1.8;1.8
0.9;3000;90064.1826;1.8;1.8
0.3;3500;101506.677;1.8;1.8
0.4;3500;99330.8932;1.8;1.8
0.5;3500;97231.1367;1.8;1.8
0.6;3500;95351.4699;1.8;1.8
0.7;3500;93515.6678;1.8;1.8
0.8;3500;91706.2844;1.8;1.8
0.9;3500;89922.0941;1.8;1.8
0.3;4000;100953.301;1.8;1.8
0.4;4000;98820.4826;1.8;1.8
0.5;4000;96840.5713;1.8;1.8
0.6;4000;94909.844;1.8;1.8
0.7;4000;93182.1005;1.8;1.8
0.8;4000;91454.6554;1.8;1.8
0.9;4000;89733.3853;1.8;1.8
0.3;4500;100344.166;1.8;1.8
0.4;4500;98292.2648;1.8;1.8
0.5;4500;96354.5027;1.8;1.8
0.6;4500;94539.1218;1.8;1.8
0.7;4500;92757.2003;1.8;1.8
0.8;4500;91150.4656;1.8;1.8
0.9;4500;89505.3398;1.8;1.8
0.3;5000;99142.5359;1.8;1.8
0.4;5000;97607.6166;1.8;1.8
0.5;5000;95847.9778;1.8;1.8
0.6;5000;94078.1884;1.8;1.8
0.7;5000;92380.7846;1.8;1.8
0.8;5000;90792.0257;1.8;1.8
0.9;5000;89228.8417;1.8;1.8
0.3;5500;97824.1116;1.8;1.8
0.4;5500;96403.7677;1.8;1.8
0.5;5500;95171.9062;1.8;1.8
0.6;5500;93593.6512;1.8;1.8
0.7;5500;91965.1422;1.8;1.8
0.8;5500;90364.7122;1.8;1.8
0.9;5500;88899.1126;1.8;1.8
0.3;6000;96518.6325;1.8;1.8
0.4;6000;95139.7091;1.8;1.8
0.5;6000;94008.2625;1.8;1.8
0.6;6000;93010.7685;1.8;1.8
0.7;6000;91499.4224;1.8;1.8
0.8;6000;89996.1529;1.8;1.8
0.9;6000;88522.2995;1.8;1.8
0.3;6500;95237.3807;1.8;1.8
0.4;6500;93900.2366;1.8;1.8
0.5;6500;92789.9883;1.8;1.8
0.6;6500;91902.3633;1.8;1.8
0.7;6500;90987.847;1.8;1.8
0.8;6500;89539.9759;1.8;1.8
0.9;6500;88103.3118;1.8;1.8
0.3;7000;93960.9082;1.8;1.8
0.4;7000;92676.8889;1.8;1.8
0.5;7000;91603.3027;1.8;1.8
0.6;7000;90724.5335;1.8;1.8
0.7;7000;90036.8331;1.8;1.8
0.8;7000;89058.6884;1.8;1.8
0.9;7000;87698.0101;1.8;1.8
0.3;7500;92518.5073;1.8;1.8
0.4;7500;91451.3461;1.8;1.8
0.5;7500;90425.3395;1.8;1.8
0.6;7500;89579.7151;1.8;1.8
0.7;7500;88900.0215;1.8;1.8
0.8;7500;88359.413;1.8;1.8
0.9;7500;87236.7819;1.8;1.8
0.3;8000;90836.3667;1.8;1.8
0.4;8000;89955.3391;1.8;1.8
0.5;8000;89243.5164;1.8;1.8
0.6;8000;88437.7211;1.8;1.8
0.7;8000;87783.3926;1.8;1.8
0.8;8000;87275.7524;1.8;1.8
0.9;8000;86738.1484;1.8;1.8
